competition,edition,match_id,event_id,event_type,team,player,assist,minute,period,round,vs,note
WC,2022,WC-2022-MD013,3,GOAL,サウジアラビア,Salem Al-Dawsari,,53,2H,GL1,アルゼンチン,
WC,2022,WC-2022-MD020,1,GOAL,オーストラリア,Craig Goodwin,,9,1H,GL1,フランス,
WC,2022,WC-2022-MD020,2,GOAL,フランス,Adrien Rabiot,,27,1H,GL1,オーストラリア,
WC,2022,WC-2022-MD020,3,GOAL,フランス,Olivier Giroud,,32,1H,GL1,オーストラリア,
WC,2022,WC-2022-MD020,4,GOAL,フランス,Kylian Mbappé,,68,2H,GL1,オーストラリア,
WC,2022,WC-2022-MD020,5,GOAL,フランス,Olivier Giroud,,71,2H,GL1,オーストラリア,
WC,2022,WC-2022-MD025,1,GOAL,ドイツ,İlkay Gündoğan,,33,1H,GL1,日本,PK
WC,2022,WC-2022-MD025,2,GOAL,日本,堂安律,,75,2H,GL1,ドイツ,
WC,2022,WC-2022-MD025,3,GOAL,日本,浅野拓磨,,83,2H,GL1,ドイツ,
WC,2022,WC-2022-MD026,1,GOAL,スペイン,Dani Olmo,,11,1H,GL1,コスタリカ,
WC,2022,WC-2022-MD026,2,GOAL,スペイン,Marco Asensio,,21,1H,GL1,コスタリカ,
WC,2022,WC-2022-MD026,3,GOAL,スペイン,Ferran Torres,,31,1H,GL1,コスタリカ,PK
WC,2022,WC-2022-MD026,4,GOAL,スペイン,Ferran Torres,,54,2H,GL1,コスタリカ,
WC,2022,WC-2022-MD026,5,GOAL,スペイン,Gavi,,74,2H,GL1,コスタリカ,
WC,2022,WC-2022-MD026,6,GOAL,スペイン,Carlos Soler,,90,2H,GL1,コスタリカ,
WC,2022,WC-2022-MD026,7,GOAL,スペイン,Álvaro Morata,,90+2,2H,GL1,コスタリカ,
WC,2022,WC-2022-MD032,1,GOAL,ベルギー,Michy Batshuayi,,44,1H,GL1,カナダ,
WC,2022,WC-2022-MD037,1,GOAL,スイス,Breel Embolo,,48,2H,GL1,カメルーン,
WC,2022,WC-2022-MD044,1,GOAL,ポルトガル,Cristiano Ronaldo,,65,2H,GL1,ガーナ,PK
WC,2022,WC-2022-MD044,2,GOAL,ガーナ,André Ayew,,73,2H,GL1,ポルトガル,
WC,2022,WC-2022-MD044,3,GOAL,ポルトガル,João Félix,,78,2H,GL1,ガーナ,
WC,2022,WC-2022-MD044,4,GOAL,ポルトガル,Rafael Leão,,80,2H,GL1,ガーナ,
WC,2022,WC-2022-MD044,5,GOAL,ガーナ,Osman Bukari,,89,2H,GL1,ポルトガル,
WC,2022,WC-2022-MD038,1,GOAL,ブラジル,Richarlison,,62,2H,GL1,セルビア,
WC,2022,WC-2022-MD038,2,GOAL,ブラジル,Richarlison,,73,2H,GL1,セルビア,
WC,2022,WC-2022-MD009,1,GOAL,イラン,Rouzbeh Cheshmi,,90+8,2H,GL2,ウェールズ,
WC,2022,WC-2022-MD009,2,GOAL,イラン,Ramin Rezaeian,,90+11,2H,GL2,ウェールズ,
WC,2022,WC-2022-MD003,1,GOAL,セネガル,Boulaye Dia,,41,1H,GL2,カタール,
WC,2022,WC-2022-MD003,2,GOAL,セネガル,Famara Diédhiou,,48,2H,GL2,カタール,
WC,2022,WC-2022-MD003,3,GOAL,カタール,Mohammed Muntari,,78,2H,GL2,セネガル,
WC,2022,WC-2022-MD003,4,GOAL,セネガル,Bamba Dieng,,84,2H,GL2,カタール,
WC,2022,WC-2022-MD004,1,GOAL,オランダ,Cody Gakpo,,6,1H,GL2,エクアドル,
WC,2022,WC-2022-MD004,2,GOAL,エクアドル,Enner Valencia,,49,2H,GL2,オランダ,
WC,2022,WC-2022-MD021,1,GOAL,オーストラリア,Mitchell Duke,,23,1H,GL2,チュニジア,
WC,2022,WC-2022-MD015,1,GOAL,ポーランド,Piotr Zieliński,,39,1H,GL2,サウジアラビア,
WC,2022,WC-2022-MD015,2,GOAL,ポーランド,Robert Lewandowski,,82,2H,GL2,サウジアラビア,
WC,2022,WC-2022-MD022,1,GOAL,フランス,Kylian Mbappé,,61,2H,GL2,デンマーク,
WC,2022,WC-2022-MD022,2,GOAL,デンマーク,Andreas Christensen,,68,2H,GL2,フランス,
WC,2022,WC-2022-MD022,3,GOAL,フランス,Kylian Mbappé,,86,2H,GL2,デンマーク,
WC,2022,WC-2022-MD016,1,GOAL,アルゼンチン,Lionel Messi,,64,2H,GL2,メキシコ,
WC,2022,WC-2022-MD016,2,GOAL,アルゼンチン,Enzo Fernández,,87,2H,GL2,メキシコ,
WC,2022,WC-2022-MD027,1,GOAL,コスタリカ,Keysher Fuller,,81,2H,GL2,日本,
WC,2022,WC-2022-MD033,1,GOAL,モロッコ,Romain Saïss,,73,2H,GL2,ベルギー,
WC,2022,WC-2022-MD033,2,GOAL,モロッコ,Zakaria Aboukhlal,,90+2,2H,GL2,ベルギー,
WC,2022,WC-2022-MD034,1,GOAL,カナダ,Alphonso Davies,,2,1H,GL2,クロアチア,
WC,2022,WC-2022-MD034,2,GOAL,クロアチア,Andrej Kramarić,,36,1H,GL2,カナダ,
WC,2022,WC-2022-MD034,3,GOAL,クロアチア,Marko Livaja,,44,1H,GL2,カナダ,
WC,2022,WC-2022-MD034,4,GOAL,クロアチア,Andrej Kramarić,,70,2H,GL2,カナダ,
WC,2022,WC-2022-MD034,5,GOAL,クロアチア,Lovro Majer,,90+4,2H,GL2,カナダ,
WC,2022,WC-2022-MD028,1,GOAL,スペイン,Álvaro Morata,,62,2H,GL2,ドイツ,
WC,2022,WC-2022-MD028,2,GOAL,ドイツ,Niclas Füllkrug,,83,2H,GL2,スペイン,
WC,2022,WC-2022-MD039,1,GOAL,カメルーン,Jean-Charles Castelletto,,29,1H,GL2,セルビア,
WC,2022,WC-2022-MD039,2,GOAL,セルビア,Strahinja Pavlović,,45+1,1H,GL2,カメルーン,
WC,2022,WC-2022-MD039,3,GOAL,セルビア,Sergej Milinković-Savić,,45+3,1H,GL2,カメルーン,
WC,2022,WC-2022-MD039,4,GOAL,セルビア,Aleksandar Mitrović,,53,2H,GL2,カメルーン,
WC,2022,WC-2022-MD039,5,GOAL,カメルーン,Vincent Aboubakar,,63,2H,GL2,セルビア,
WC,2022,WC-2022-MD039,6,GOAL,カメルーン,Eric Maxim Choupo-Moting,,66,2H,GL2,セルビア,
WC,2022,WC-2022-MD045,1,GOAL,ガーナ,Mohammed Salisu,,24,1H,GL2,韓国,
WC,2022,WC-2022-MD045,2,GOAL,ガーナ,Mohammed Kudus,,34,1H,GL2,韓国,
WC,2022,WC-2022-MD045,3,GOAL,韓国,Cho Gue-sung,,58,2H,GL2,ガーナ,
WC,2022,WC-2022-MD045,4,GOAL,韓国,Cho Gue-sung,,61,2H,GL2,ガーナ,
WC,2022,WC-2022-MD045,5,GOAL,ガーナ,Mohammed Kudus,,68,2H,GL2,韓国,
WC,2022,WC-2022-MD040,1,GOAL,ブラジル,Casemiro,,83,2H,GL2,スイス,
WC,2022,WC-2022-MD046,1,GOAL,ポルトガル,Bruno Fernandes,,54,2H,GL2,ウルグアイ,
WC,2022,WC-2022-MD046,2,GOAL,ポルトガル,Bruno Fernandes,,90+3,2H,GL2,ウルグアイ,PK
WC,2022,WC-2022-MD005,1,GOAL,セネガル,Ismaïla Sarr,,44,1H,GL3,エクアドル,PK
WC,2022,WC-2022-MD005,2,GOAL,エクアドル,Moisés Caicedo,,67,2H,GL3,セネガル,
WC,2022,WC-2022-MD005,3,GOAL,セネガル,Kalidou Koulibaly,,70,2H,GL3,エクアドル,
WC,2022,WC-2022-MD006,1,GOAL,オランダ,Cody Gakpo,,26,1H,GL3,カタール,
WC,2022,WC-2022-MD006,2,GOAL,オランダ,Frenkie de Jong,,49,2H,GL3,カタール,
WC,2022,WC-2022-MD012,1,GOAL,アメリカ,Christian Pulisic,,38,1H,GL3,イラン,
WC,2022,WC-2022-MD011,1,GOAL,イングランド,Marcus Rashford,,50,2H,GL3,ウェールズ,
WC,2022,WC-2022-MD011,2,GOAL,イングランド,Phil Foden,,51,2H,GL3,ウェールズ,
WC,2022,WC-2022-MD011,3,GOAL,イングランド,Marcus Rashford,,68,2H,GL3,ウェールズ,
WC,2022,WC-2022-MD023,1,GOAL,オーストラリア,Mathew Leckie,,60,2H,GL3,デンマーク,
WC,2022,WC-2022-MD024,1,GOAL,チュニジア,Wahbi Khazri,,58,2H,GL3,フランス,
WC,2022,WC-2022-MD017,1,GOAL,アルゼンチン,Alexis Mac Allister,,46,2H,GL3,ポーランド,
WC,2022,WC-2022-MD017,2,GOAL,アルゼンチン,Julián Álvarez,,67,2H,GL3,ポーランド,
WC,2022,WC-2022-MD018,1,GOAL,メキシコ,Henry Martín,,47,2H,GL3,サウジアラビア,
WC,2022,WC-2022-MD018,2,GOAL,メキシコ,Luis Chávez,,52,2H,GL3,サウジアラビア,
WC,2022,WC-2022-MD018,3,GOAL,サウジアラビア,Salem Al-Dawsari,,90+5,2H,GL3,メキシコ,
WC,2022,WC-2022-MD036,1,GOAL,モロッコ,Hakim Ziyech,,4,1H,GL3,カナダ,
WC,2022,WC-2022-MD036,2,GOAL,モロッコ,Youssef En-Nesyri,,23,1H,GL3,カナダ,
WC,2022,WC-2022-MD036,3,OWN_GOAL,カナダ,Nayef Aguerd,,40,1H,GL3,モロッコ,
WC,2022,WC-2022-MD030,1,GOAL,ドイツ,Serge Gnabry,,10,1H,GL3,コスタリカ,
WC,2022,WC-2022-MD030,2,GOAL,コスタリカ,Yeltsin Tejeda,,58,2H,GL3,ドイツ,
WC,2022,WC-2022-MD030,3,GOAL,コスタリカ,Juan Pablo Vargas,,70,2H,GL3,ドイツ,
WC,2022,WC-2022-MD030,4,GOAL,ドイツ,Kai Havertz,,73,2H,GL3,コスタリカ,
WC,2022,WC-2022-MD030,5,GOAL,ドイツ,Kai Havertz,,85,2H,GL3,コスタリカ,
WC,2022,WC-2022-MD030,6,GOAL,ドイツ,Niclas Füllkrug,,89,2H,GL3,コスタリカ,
WC,2022,WC-2022-MD029,1,GOAL,スペイン,Álvaro Morata,,11,1H,GL3,日本,
WC,2022,WC-2022-MD029,2,GOAL,日本,堂安律,,48,2H,GL3,スペイン,
WC,2022,WC-2022-MD029,3,GOAL,日本,田中碧,,51,2H,GL3,スペイン,
WC,2022,WC-2022-MD047,1,GOAL,ウルグアイ,Giorgian De Arrascaeta,,26,1H,GL3,ガーナ,
WC,2022,WC-2022-MD047,2,GOAL,ウルグアイ,Giorgian De Arrascaeta,,32,1H,GL3,ガーナ,
WC,2022,WC-2022-MD048,1,GOAL,ポルトガル,Ricardo Horta,,5,1H,GL3,韓国,
WC,2022,WC-2022-MD048,2,GOAL,韓国,Young-gwon Kim,,27,1H,GL3,ポルトガル,
WC,2022,WC-2022-MD048,3,GOAL,韓国,Hee-chan Hwang,,90+1,2H,GL3,ポルトガル,
WC,2022,WC-2022-MD042,1,GOAL,カメルーン,Vincent Aboubakar,,90+2,2H,GL3,ブラジル,
WC,2022,WC-2022-MD041,1,GOAL,スイス,Xherdan Shaqiri,,20,1H,GL3,セルビア,
WC,2022,WC-2022-MD041,2,GOAL,セルビア,Aleksandar Mitrović,,26,1H,GL3,スイス,
WC,2022,WC-2022-MD041,3,GOAL,セルビア,Dušan Vlahović,,35,1H,GL3,スイス,
WC,2022,WC-2022-MD041,4,GOAL,スイス,Breel Embolo,,44,1H,GL3,セルビア,
WC,2022,WC-2022-MD041,5,GOAL,スイス,Remo Freuler,,48,2H,GL3,セルビア,
WC,2022,WC-2022-MD049,1,GOAL,オランダ,Memphis Depay,,10,1H,R16,アメリカ,
WC,2022,WC-2022-MD049,2,GOAL,オランダ,Daley Blind,,45+1,1H,R16,アメリカ,
WC,2022,WC-2022-MD049,3,GOAL,アメリカ,Haji Wright,,76,2H,R16,オランダ,
WC,2022,WC-2022-MD049,4,GOAL,オランダ,Denzel Dumfries,,81,2H,R16,アメリカ,
WC,2022,WC-2022-MD050,1,GOAL,アルゼンチン,Lionel Messi,,35,1H,R16,オーストラリア,
WC,2022,WC-2022-MD050,2,GOAL,アルゼンチン,Julián Álvarez,,57,2H,R16,オーストラリア,
WC,2022,WC-2022-MD050,3,OWN_GOAL,オーストラリア,Enzo Fernández,,77,2H,R16,アルゼンチン,
WC,2022,WC-2022-MD051,1,GOAL,フランス,Olivier Giroud,,44,1H,R16,ポーランド,
WC,2022,WC-2022-MD051,2,GOAL,フランス,Kylian Mbappé,,74,2H,R16,ポーランド,
WC,2022,WC-2022-MD051,3,GOAL,フランス,Kylian Mbappé,,90+1,2H,R16,ポーランド,
WC,2022,WC-2022-MD051,4,GOAL,ポーランド,Robert Lewandowski,,90+9,2H,R16,フランス,PK
WC,2022,WC-2022-MD052,1,GOAL,イングランド,Jordan Henderson,,38,1H,R16,セネガル,
WC,2022,WC-2022-MD052,2,GOAL,イングランド,Harry Kane,,45+3,1H,R16,セネガル,
WC,2022,WC-2022-MD052,3,GOAL,イングランド,Bukayo Saka,,57,2H,R16,セネガル,
WC,2022,WC-2022-MD053,1,GOAL,日本,前田大然,,43,1H,R16,クロアチア,
WC,2022,WC-2022-MD053,2,GOAL,クロアチア,Ivan Perišić,,55,2H,R16,日本,
WC,2022,WC-2022-MD054,1,GOAL,ブラジル,Vinícius Júnior,,7,1H,R16,韓国,
WC,2022,WC-2022-MD054,2,GOAL,ブラジル,Neymar,,13,1H,R16,韓国,PK
WC,2022,WC-2022-MD054,3,GOAL,ブラジル,Richarlison,,29,1H,R16,韓国,
WC,2022,WC-2022-MD054,4,GOAL,ブラジル,Lucas Paquetá,,36,1H,R16,韓国,
WC,2022,WC-2022-MD054,5,GOAL,韓国,Paik Seung-ho,,76,2H,R16,ブラジル,
WC,2022,WC-2022-MD056,1,GOAL,ポルトガル,Gonçalo Ramos,,17,1H,R16,スイス,
WC,2022,WC-2022-MD056,2,GOAL,ポルトガル,Pepe,,33,1H,R16,スイス,
WC,2022,WC-2022-MD056,3,GOAL,ポルトガル,Gonçalo Ramos,,51,2H,R16,スイス,
WC,2022,WC-2022-MD056,4,GOAL,ポルトガル,Raphaël Guerreiro,,55,2H,R16,スイス,
WC,2022,WC-2022-MD056,5,GOAL,スイス,Manuel Akanji,,58,2H,R16,ポルトガル,
WC,2022,WC-2022-MD056,6,GOAL,ポルトガル,Gonçalo Ramos,,67,2H,R16,スイス,
WC,2022,WC-2022-MD056,7,GOAL,ポルトガル,Rafael Leão,,90+2,2H,R16,スイス,
WC,2022,WC-2022-MD057,1,GOAL,ブラジル,Neymar,,105+1,ET1,QF,クロアチア,
WC,2022,WC-2022-MD057,2,GOAL,クロアチア,Bruno Petković,,117,ET2,QF,ブラジル,
WC,2022,WC-2022-MD058,1,GOAL,アルゼンチン,Nahuel Molina,,35,1H,QF,オランダ,
WC,2022,WC-2022-MD058,2,GOAL,アルゼンチン,Lionel Messi,,73,2H,QF,オランダ,PK
WC,2022,WC-2022-MD058,3,GOAL,オランダ,Wout Weghorst,,83,2H,QF,アルゼンチン,
WC,2022,WC-2022-MD058,4,GOAL,オランダ,Wout Weghorst,,90+11,2H,QF,アルゼンチン,
WC,2022,WC-2022-MD059,1,GOAL,モロッコ,Youssef En-Nesyri,,42,1H,QF,ポルトガル,
WC,2022,WC-2022-MD060,1,GOAL,フランス,Aurélien Tchouaméni,,17,1H,QF,イングランド,
WC,2022,WC-2022-MD060,2,GOAL,イングランド,Harry Kane,,54,2H,QF,フランス,PK
WC,2022,WC-2022-MD060,3,GOAL,フランス,Olivier Giroud,,78,2H,QF,イングランド,
WC,2022,WC-2022-MD061,1,GOAL,アルゼンチン,Lionel Messi,,34,1H,SF,クロアチア,PK
WC,2022,WC-2022-MD061,2,GOAL,アルゼンチン,Julián Álvarez,,39,1H,SF,クロアチア,
WC,2022,WC-2022-MD061,3,GOAL,アルゼンチン,Julián Álvarez,,69,2H,SF,クロアチア,
WC,2022,WC-2022-MD062,1,GOAL,フランス,Théo Hernandez,,5,1H,SF,モロッコ,
WC,2022,WC-2022-MD062,2,GOAL,フランス,Randal Kolo Muani,,79,2H,SF,モロッコ,
WC,2022,WC-2022-MD063,1,GOAL,クロアチア,Joško Gvardiol,,7,1H,3P,モロッコ,
WC,2022,WC-2022-MD063,2,GOAL,モロッコ,Achraf Dari,,9,1H,3P,クロアチア,
WC,2022,WC-2022-MD063,3,GOAL,クロアチア,Mislav Oršić,,42,1H,3P,モロッコ,
WC,2022,WC-2022-MD064,1,GOAL,アルゼンチン,Lionel Messi,,23,1H,Final,フランス,PK
WC,2022,WC-2022-MD064,2,GOAL,アルゼンチン,Ángel Di María,,36,1H,Final,フランス,
WC,2022,WC-2022-MD064,3,GOAL,フランス,Kylian Mbappé,,80,2H,Final,アルゼンチン,PK
WC,2022,WC-2022-MD064,4,GOAL,フランス,Kylian Mbappé,,81,2H,Final,アルゼンチン,
WC,2022,WC-2022-MD064,5,GOAL,アルゼンチン,Lionel Messi,,108,ET2,Final,フランス,
WC,2022,WC-2022-MD064,6,GOAL,フランス,Kylian Mbappé,,118,ET2,Final,アルゼンチン,PK
WC,2018,WC-2018-MD001,1,GOAL,ロシア,Yury Gazinsky,,12,1H,GL1,サウジアラビア,
WC,2018,WC-2018-MD001,2,GOAL,ロシア,Denis Cheryshev,,43,1H,GL1,サウジアラビア,
WC,2018,WC-2018-MD001,3,GOAL,ロシア,Artem Dzyuba,,71,2H,GL1,サウジアラビア,
WC,2018,WC-2018-MD001,4,GOAL,ロシア,Denis Cheryshev,,90+1,2H,GL1,サウジアラビア,
WC,2018,WC-2018-MD001,5,GOAL,ロシア,Aleksandr Golovin,,90+4,2H,GL1,サウジアラビア,
WC,2018,WC-2018-MD002,1,GOAL,ウルグアイ,José Giménez,,89,2H,GL1,エジプト,
WC,2018,WC-2018-MD003,1,OWN_GOAL,イラン,Aziz Bouhaddouz,,90+5,2H,GL1,モロッコ,
WC,2018,WC-2018-MD004,1,GOAL,ポルトガル,Cristiano Ronaldo,,4,1H,GL1,スペイン,PK
WC,2018,WC-2018-MD004,2,GOAL,スペイン,Diego Costa,,24,1H,GL1,ポルトガル,
WC,2018,WC-2018-MD004,3,GOAL,ポルトガル,Cristiano Ronaldo,,44,1H,GL1,スペイン,
WC,2018,WC-2018-MD004,4,GOAL,スペイン,Diego Costa,,55,2H,GL1,ポルトガル,
WC,2018,WC-2018-MD004,5,GOAL,スペイン,Nacho,,58,2H,GL1,ポルトガル,
WC,2018,WC-2018-MD004,6,GOAL,ポルトガル,Cristiano Ronaldo,,88,2H,GL1,スペイン,
WC,2018,WC-2018-MD005,1,GOAL,フランス,Antoine Griezmann,,58,2H,GL1,オーストラリア,PK
WC,2018,WC-2018-MD005,2,GOAL,オーストラリア,Mile Jedinak,,62,2H,GL1,フランス,PK
WC,2018,WC-2018-MD005,3,OWN_GOAL,フランス,Aziz Behich,,81,2H,GL1,オーストラリア,
WC,2018,WC-2018-MD006,1,GOAL,アルゼンチン,Sergio Agüero,,19,1H,GL1,アイスランド,
WC,2018,WC-2018-MD006,2,GOAL,アイスランド,Alfreð Finnbogason,,23,1H,GL1,アルゼンチン,
WC,2018,WC-2018-MD007,1,GOAL,デンマーク,Yussuf Poulsen,,59,2H,GL1,ペルー,
WC,2018,WC-2018-MD008,1,OWN_GOAL,クロアチア,Peter Etebo,,32,1H,GL1,ナイジェリア,
WC,2018,WC-2018-MD008,2,GOAL,クロアチア,Luka Modrić,,71,2H,GL1,ナイジェリア,PK
WC,2018,WC-2018-MD009,1,GOAL,セルビア,Aleksandar Kolarov,,56,2H,GL1,コスタリカ,
WC,2018,WC-2018-MD010,1,GOAL,メキシコ,Hirving Lozano,,35,1H,GL1,ドイツ,
WC,2018,WC-2018-MD011,1,GOAL,ブラジル,Philippe Coutinho,,20,1H,GL1,スイス,
WC,2018,WC-2018-MD011,2,GOAL,スイス,Steven Zuber,,50,2H,GL1,ブラジル,
WC,2018,WC-2018-MD012,1,GOAL,スウェーデン,Andreas Granqvist,,65,2H,GL1,韓国,PK
WC,2018,WC-2018-MD013,1,GOAL,ベルギー,Dries Mertens,,47,2H,GL1,パナマ,
WC,2018,WC-2018-MD013,2,GOAL,ベルギー,Romelu Lukaku,,69,2H,GL1,パナマ,
WC,2018,WC-2018-MD013,3,GOAL,ベルギー,Romelu Lukaku,,75,2H,GL1,パナマ,
WC,2018,WC-2018-MD014,1,GOAL,イングランド,Harry Kane,,11,1H,GL1,チュニジア,
WC,2018,WC-2018-MD014,2,GOAL,チュニジア,Ferjani Sassi,,35,1H,GL1,イングランド,PK
WC,2018,WC-2018-MD014,3,GOAL,イングランド,Harry Kane,,90+1,2H,GL1,チュニジア,
WC,2018,WC-2018-MD015,1,GOAL,日本,香川真司,,6,1H,GL1,コロンビア,PK
WC,2018,WC-2018-MD015,2,GOAL,コロンビア,Juan Fernando Quintero,,39,1H,GL1,日本,
WC,2018,WC-2018-MD015,3,GOAL,日本,大迫勇也,,73,2H,GL1,コロンビア,
WC,2018,WC-2018-MD016,1,OWN_GOAL,セネガル,Thiago Cionek,,37,1H,GL1,ポーランド,
WC,2018,WC-2018-MD016,2,GOAL,セネガル,M'Baye Niang,,60,2H,GL1,ポーランド,
WC,2018,WC-2018-MD016,3,GOAL,ポーランド,Grzegorz Krychowiak,,86,2H,GL1,セネガル,
WC,2018,WC-2018-MD017,1,OWN_GOAL,ロシア,Ahmed Fathy,,47,2H,GL2,エジプト,
WC,2018,WC-2018-MD017,2,GOAL,ロシア,Denis Cheryshev,,59,2H,GL2,エジプト,
WC,2018,WC-2018-MD017,3,GOAL,ロシア,Artem Dzyuba,,62,2H,GL2,エジプト,
WC,2018,WC-2018-MD017,4,GOAL,エジプト,Mohamed Salah,,73,2H,GL2,ロシア,PK
WC,2018,WC-2018-MD018,1,GOAL,ポルトガル,Cristiano Ronaldo,,4,1H,GL2,モロッコ,
WC,2018,WC-2018-MD019,1,GOAL,ウルグアイ,Luis Suárez,,23,1H,GL2,サウジアラビア,
WC,2018,WC-2018-MD020,1,GOAL,スペイン,Diego Costa,,54,2H,GL2,イラン,
WC,2018,WC-2018-MD021,1,GOAL,デンマーク,Christian Eriksen,,7,1H,GL2,オーストラリア,
WC,2018,WC-2018-MD021,2,GOAL,オーストラリア,Mile Jedinak,,38,1H,GL2,デンマーク,PK
WC,2018,WC-2018-MD022,1,GOAL,フランス,Kylian Mbappé,,34,1H,GL2,ペルー,
WC,2018,WC-2018-MD023,1,GOAL,クロアチア,Ante Rebić,,53,2H,GL2,アルゼンチン,
WC,2018,WC-2018-MD023,2,GOAL,クロアチア,Luka Modrić,,80,2H,GL2,アルゼンチン,
WC,2018,WC-2018-MD023,3,GOAL,クロアチア,Ivan Rakitić,,90+1,2H,GL2,アルゼンチン,
WC,2018,WC-2018-MD024,1,GOAL,ブラジル,Philippe Coutinho,,90+1,2H,GL2,コスタリカ,
WC,2018,WC-2018-MD024,2,GOAL,ブラジル,Neymar,,90+7,2H,GL2,コスタリカ,
WC,2018,WC-2018-MD025,1,GOAL,ナイジェリア,Ahmed Musa,,49,2H,GL2,アイスランド,
WC,2018,WC-2018-MD025,2,GOAL,ナイジェリア,Ahmed Musa,,75,2H,GL2,アイスランド,
WC,2018,WC-2018-MD026,1,GOAL,セルビア,Aleksandar Mitrović,,5,1H,GL2,スイス,
WC,2018,WC-2018-MD026,2,GOAL,スイス,Granit Xhaka,,52,2H,GL2,セルビア,
WC,2018,WC-2018-MD026,3,GOAL,スイス,Xherdan Shaqiri,,90,2H,GL2,セルビア,
WC,2018,WC-2018-MD027,1,GOAL,ベルギー,Eden Hazard,,6,1H,GL2,チュニジア,PK
WC,2018,WC-2018-MD027,2,GOAL,ベルギー,Romelu Lukaku,,16,1H,GL2,チュニジア,
WC,2018,WC-2018-MD027,3,GOAL,チュニジア,Dylan Bronn,,18,1H,GL2,ベルギー,
WC,2018,WC-2018-MD027,4,GOAL,ベルギー,Romelu Lukaku,,45+3,1H,GL2,チュニジア,
WC,2018,WC-2018-MD027,5,GOAL,ベルギー,Eden Hazard,,51,2H,GL2,チュニジア,
WC,2018,WC-2018-MD027,6,GOAL,ベルギー,Michy Batshuayi,,90,2H,GL2,チュニジア,
WC,2018,WC-2018-MD027,7,GOAL,チュニジア,Wahbi Khazri,,90+3,2H,GL2,ベルギー,
WC,2018,WC-2018-MD028,1,GOAL,メキシコ,Carlos Vela,,26,1H,GL2,韓国,PK
WC,2018,WC-2018-MD028,2,GOAL,メキシコ,Javier Hernández,,66,2H,GL2,韓国,
WC,2018,WC-2018-MD028,3,GOAL,韓国,Heung-min Son,,90+3,2H,GL2,メキシコ,
WC,2018,WC-2018-MD029,1,GOAL,スウェーデン,Ola Toivonen,,32,1H,GL2,ドイツ,
WC,2018,WC-2018-MD029,2,GOAL,ドイツ,Marco Reus,,48,2H,GL2,スウェーデン,
WC,2018,WC-2018-MD029,3,GOAL,ドイツ,Toni Kroos,,90+5,2H,GL2,スウェーデン,
WC,2018,WC-2018-MD030,1,GOAL,イングランド,John Stones,,8,1H,GL2,パナマ,
